ZIP,% of County Population,Type,Primary City,Acceptable Cities,Unacceptable Cities,
11568,0.3%,Standard,Old Westbury,Westbury,,
11771,0.7%,Standard,Oyster Bay,,"Centre Island, Cove Neck, Laurel Hollow, Muttontown, Oyster Bay Cove, Upper Brookville",
11803,2%,Standard,Plainview,,Hicksville,
11569,0.1%,PO Box,Point Lookout,,Pt Lookout,
11050,2%,Standard,Port Washington,"Prt Washingtn, Sands Point","Baxter Estates, Harbor Acres, Manorhaven, Port Wash, Pr Wash, Pr Wshngtn, Pt Wash, The Terrace",
11570,2%,Standard,Rockville Centre,Rockville Ctr,"Lakeview, Rockville Center, Rvc",
11575,1%,Standard,Roosevelt,,,
11576,0.9%,Standard,Roslyn,,"E Hills, East Hills, Roslyn Estates, Roslyn Harbor",
11577,0.9%,Standard,Roslyn Heights,Roslyn Hts,"E Hills, East Hills",
11579,0.4%,Standard,Sea Cliff,,,
11783,2%,Standard,Seaford,,,
11791,2%,Standard,Syosset,,"Laurel Hollow, Muttontown, Oyster Bay Cove",
11553,2%,Standard,Uniondale,,Mitchell Field,
11556,0.0%,Standard,Uniondale,,,
11580,3%,Standard,Valley Stream,,"N Valley Stream, North Valley Stream",
11581,2%,Standard,Valley Stream,,"N Woodmere, North Woodmere",
11793,2%,Standard,Wantagh,,"Briar Park, N Wantagh",
11552,2%,Standard,West Hempstead,W Hempstead,Lakeview,
11590,3%,Standard,Westbury,,New Cassel,
11596,0.8%,Standard,Williston Park,"E Williston, East Williston, Williston Pk",,
11797,0.7%,Standard,Woodbury,,,
11598,1.0%,Standard,Woodmere,,"Hewlett Neck, Woodsburgh",
11930,0.1%,PO Box,Amagansett,,"Beach Hampton, Promised Land",
11701,2%,Standard,Amityville,Amity Harbor,"N Amityville, North Amityville",
11931,0.0%,PO Box,Aquebogue,,,
11702,1.0%,Standard,Babylon,"Captree Is, Captree Island, Gilgo Beach, Oak Beach, Oak Island, W Gilgo Beach, West Gilgo Beach",,
11706,4%,Standard,Bay Shore,"Fair Harbor, Kismet, Point O Woods, Saltaire","Bayshore, N Bay Shore, North Bay Shore, W Bay Shore, West Bay Shore",
11705,0.5%,Standard,Bayport,,Bay Port,
11713,0.7%,Standard,Bellport,,"N Bellport, North Bellport",
11715,0.3%,Standard,Blue Point,,,
11716,0.7%,Standard,Bohemia,,,
11717,4%,Standard,Brentwood,"Edgewood, W Brentwood, West Brentwood",Pine Air,
11932,0.1%,PO Box,Bridgehampton,,Bridge Hampton,
11718,0.2%,Standard,Brightwaters,,,
11719,0.2%,Standard,Brookhaven,,S Haven,
11933,0.5%,Standard,Calverton,"Baiting Hollo, Baiting Hollow",,
11934,0.5%,Standard,Center Moriches,Ctr Moriches,,
