YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2020,1,FL,Total Electric Power Industry,Petroleum (Barrels),330950
2020,1,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),728
2020,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),756776
2020,1,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),0
2020,1,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),1294
2020,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),10978
2020,1,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2020,1,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),1196416
2020,1,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),2469135
2020,1,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),777
2020,1,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),493626
2020,1,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),9.27E+07
2020,1,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),328879
2020,10,WY,Total Electric Power Industry,Coal (Short Tons),1782816
2020,1,GA,Total Electric Power Industry,Natural Gas (Mcf),3.46E+07
2020,1,GA,Total Electric Power Industry,Petroleum (Barrels),28839
2020,1,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),3126
2020,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),355333
2020,1,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),17774
2020,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),48
2020,1,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),201
2020,1,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),33004
2020,1,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),6149957
2020,1,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),223
2020,1,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),271814
2020,1,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),2.80E+07
2020,1,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),10641
2020,11,WY,Total Electric Power Industry,Coal (Short Tons),1873689
2020,1,HI,Total Electric Power Industry,Geothermal (Billion Btu),130
2020,1,HI,Total Electric Power Industry,Other Gases (Billion Btu),4
2020,1,HI,Total Electric Power Industry,Petroleum (Barrels),983214
2020,1,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),4
2020,1,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),17522
2020,1,HI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2878
2020,1,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),43733
2020,1,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),67505
2020,1,HI,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),130
2020,1,HI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),41683
2020,1,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),853626
2020,12,WY,Total Electric Power Industry,Coal (Short Tons),1848202
2020,1,IA,Total Electric Power Industry,Natural Gas (Mcf),3967674
2020,1,IA,Total Electric Power Industry,Petroleum (Barrels),18655
2020,1,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),41703
2020,1,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),174433
2020,1,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),5060
2020,1,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),1419
2020,1,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),49809
2020,1,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),2121
2020,1,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),8
2020,1,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),421
2020,1,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),780357
2020,1,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),3743424
2020,1,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),11053
2020,1,WV,Total Electric Power Industry,Coal (Short Tons),1497203
2020,1,ID,Total Electric Power Industry,Geothermal (Billion Btu),65
2020,1,ID,Total Electric Power Industry,Natural Gas (Mcf),3620005
2020,1,ID,Total Electric Power Industry,Petroleum (Barrels),0
2020,1,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),402
2020,1,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),68488
2020,1,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2020,1,ID,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),15492
2020,1,ID,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2020,1,ID,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),65
2020,1,ID,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1255455
2020,1,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),2280570
2020,1,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2020,2,WV,Total Electric Power Industry,Coal (Short Tons),1817232
2020,1,IL,Total Electric Power Industry,Natural Gas (Mcf),1.61E+07
2020,1,IL,Total Electric Power Industry,Other Gases (Billion Btu),128
2020,1,IL,Total Electric Power Industry,Petroleum (Barrels),6215
2020,1,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),43299
2020,1,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),335227
2020,1,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),128
2020,1,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2020,1,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),256
2020,1,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),169809
2020,1,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),18
2020,1,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),384182
2020,1,IL,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),0
2020,1,IL,"Electric Generators, Independent Power Producers",Coal (Short Tons),1335271
2020,1,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1.34E+07
2020,1,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),4791
2020,1,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),136279
2020,1,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),1878089
2020,1,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),1406
2020,3,WV,Total Electric Power Industry,Coal (Short Tons),1351180
2020,1,IN,Total Electric Power Industry,Natural Gas (Mcf),2.15E+07
2020,1,IN,Total Electric Power Industry,Other Gases (Billion Btu),961
2020,1,IN,Total Electric Power Industry,Petroleum (Barrels),27634
2020,1,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2020,1,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),1383054
2020,1,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),961
2020,1,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),105
2020,1,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),515
2020,1,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),84582
2020,1,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),12
2020,1,IN,"Combined Heat and Power, Electric Power",Coal (Short Tons),201147
2020,1,IN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),2314918
2020,1,IN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,IN,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2020,1,IN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),8490295
2020,1,IN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2020,1,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),1649068
2020,1,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),9179018
2020,1,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),27517
2020,4,WV,Total Electric Power Industry,Coal (Short Tons),1168035
2020,1,KS,Total Electric Power Industry,Natural Gas (Mcf),1369095
2020,1,KS,Total Electric Power Industry,Petroleum (Barrels),17375
2020,1,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),60809
2020,1,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),918919
2020,1,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),1308286
2020,1,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),17375
2020,5,WV,Total Electric Power Industry,Coal (Short Tons),1750903
2020,1,KY,Total Electric Power Industry,Natural Gas (Mcf),9198602
2020,1,KY,Total Electric Power Industry,Petroleum (Barrels),15382
2020,1,KY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),91393
2020,1,KY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),173503
2020,1,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),1918352
2020,1,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),8933706
2020,1,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),15382
2020,6,WV,Total Electric Power Industry,Coal (Short Tons),1856586
2020,1,LA,Total Electric Power Industry,Natural Gas (Mcf),3.90E+07
2020,1,LA,Total Electric Power Industry,Other Gases (Billion Btu),900
2020,1,LA,Total Electric Power Industry,Petroleum (Barrels),529185
2020,1,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2020,1,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),1.42E+07
